City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,sur,22.5667,59.5289,20.85,69,8,3.16,OM,1675986530
248,cuiluan,47.72,128.648,-12.14,91,100,1.14,CN,1675986530
249,rawson,-43.3002,-65.1023,27.26,40,0,3.17,AR,1675986292
250,biak,-0.9131,122.8766,25.52,78,100,1.88,ID,1675986531
251,saraland,30.8207,-88.0706,18.5,83,100,1.69,US,1675986531
252,hobyo,5.3505,48.5268,24.08,77,39,7.3,SO,1675986532
253,ossora,59.2353,163.0719,-13.36,92,100,10.16,RU,1675986532
254,dicabisagan,17.0818,122.4157,24.66,85,100,1.87,PH,1675986532
255,ouahigouya,13.5828,-2.4216,25.32,11,0,4.78,BF,1675986533
256,cherskiy,68.75,161.3,-41.89,99,98,2.53,RU,1675986533
257,naqadeh,36.9553,45.388,-4.59,93,96,0.98,IR,1675986534
258,moranbah,-22.0016,148.0466,26.89,48,3,6.07,AU,1675986534
259,lipin bor,60.2622,37.9763,-5.95,89,93,5.53,RU,1675986534
260,haines junction,60.7522,-137.5108,-9.03,86,100,1.03,CA,1675986535
261,santa rosalia,27.3167,-112.2833,19.46,29,16,5.17,MX,1675986535
262,zhuanghe,39.7008,122.9911,-0.28,60,65,1.0,CN,1675986535
263,maebaru,33.55,130.2,8.86,95,100,5.2,JP,1675986536
264,le havre,49.4938,0.1077,7.51,93,100,2.57,FR,1675986536
265,pangnirtung,66.1451,-65.7125,-35.0,75,0,0.0,CA,1675986537
266,golden,39.7555,-105.2211,-0.29,48,100,2.68,US,1675986537
267,dryden,49.7833,-92.7503,-7.84,57,100,5.14,CA,1675986312
268,ilebo,-4.3167,20.5833,21.91,68,19,0.74,CD,1675986538
269,carauari,-4.8828,-66.8958,23.26,98,83,1.36,BR,1675986538
270,namatanai,-3.6667,152.4333,28.11,75,100,2.06,PG,1675986538
271,kaoma,-14.7833,24.8,17.62,98,100,2.14,ZM,1675986539
272,fortuna,40.5982,-124.1573,16.63,67,0,1.79,US,1675986539
273,flin flon,54.7682,-101.865,-8.09,49,75,1.54,CA,1675986313
274,meulaboh,4.1363,96.1285,24.2,90,88,2.28,ID,1675986540
275,bilma,18.6853,12.9164,19.2,19,0,5.39,NE,1675986540
276,williston,48.147,-103.618,-1.59,92,8,2.13,US,1675986361
277,utinga,-5.8172,-35.3954,27.47,78,40,5.66,BR,1675986541
278,ligayan,4.6533,119.4706,27.1,81,86,5.71,PH,1675986541
279,korla,41.7597,86.1469,-0.98,57,98,1.85,CN,1675986542
280,rassvet,46.8333,40.75,-8.8,93,61,2.14,RU,1675986542
281,shahreza,32.0339,51.8794,-1.48,57,0,1.13,IR,1675986543
282,tomari,47.7658,142.0683,-10.17,67,97,1.45,RU,1675986543
283,chernyshevskiy,63.0128,112.4714,-30.36,98,100,1.97,RU,1675986543
284,hasaki,35.7333,140.8333,3.45,67,100,6.32,JP,1675986544
285,moncton,46.1159,-64.8019,-4.73,46,75,2.57,CA,1675986295
286,humboldt,40.6665,-123.9178,11.74,50,11,1.63,US,1675986544
287,jacareacanga,-6.2222,-57.7528,23.45,96,63,0.49,BR,1675986545
288,concepcion del oro,24.6333,-101.4167,17.97,12,73,5.31,MX,1675986545
289,kichera,55.9375,110.0997,-14.47,92,100,1.6,RU,1675986316
290,kedrovyy,56.1667,91.8167,-28.77,100,99,1.02,RU,1675986546
291,kandalaksha,67.162,32.4123,-1.06,84,97,5.11,RU,1675986546
292,chengde,40.9725,117.9361,-6.36,92,31,1.46,CN,1675986547
293,fukue,32.6881,128.8419,10.2,100,75,7.72,JP,1675986547
294,richards bay,-28.783,32.0377,22.63,92,99,3.45,ZA,1675986547
295,songjianghe,42.1859,127.479,-5.95,80,100,1.84,CN,1675986548
296,neiafu,-18.65,-173.9833,29.38,79,40,2.57,TO,1675986549
297,severomuysk,56.1481,113.4267,-25.31,94,85,0.27,RU,1675986550
298,ballina,-28.8667,153.5667,26.12,73,29,4.46,AU,1675986551
299,bowen,-20.0167,148.2333,27.39,65,50,0.48,AU,1675986551
300,barguzin,53.6167,109.6167,-17.54,96,97,0.8,RU,1675986552
301,kundiawa,-6.0167,144.9667,18.7,96,100,0.59,PG,1675986552
302,okhotsk,59.3833,143.3,-27.85,76,50,8.29,RU,1675986553
303,olavarria,-36.8927,-60.3225,26.96,32,0,3.48,AR,1675986553
304,saint marys,30.7305,-81.5465,24.03,77,60,3.13,US,1675986354
305,methoni,36.8197,21.7049,3.92,62,84,3.72,GR,1675986554
306,fairbanks,64.8378,-147.7164,-14.67,81,20,1.54,US,1675986300
307,sitka,57.0531,-135.33,5.94,70,100,5.14,US,1675986555
308,luderitz,-26.6481,15.1594,17.48,91,9,3.77,NA,1675986555
309,leningradskiy,69.3833,178.4167,-33.16,98,99,2.95,RU,1675986555
